번호,작가,작품명,제작연도,재료,규격,부문,관리번호,작품 설명,작품이미지,이미지
29.0,유영국 YOO Youngkuk,작품002,1994,종이에 인타글리오 프린트,54×55,판화,9775.0,"영국(劉永國, 1916–2002)은 경상북도 울진에서 태어났으며 경성제2고등보통학교에서 미술 교사 사토 구니오(佐藤九二男)에게서 처음 유화를 접했다. 강압적인 학교 교육에 불만을 품고 중퇴하여, 1935년에 일본으로 건너가 당시 가장 진보적인 미술학교 중 하나였던 도쿄 분카학원(文化学院)에서 본격적인 미술 공부를 시작했다. 재학 시절 일본인 학우들과 함께 N.B.G.그룹(Neo Beaux–Arts Group)을 결성하여 전시회를 개최한 바 있고, 독립미술협회, 자유미술가협회 등 당시 일본에서도 가장 전위적인 미술 단체에서 활동했으며, 1938년 제2회 《자유미술가협회전》에서는 최고상을 받았다. 귀국 후 1947년 김환기(金煥基)와 함께 한국 최초의 추상미술 단체인 신사실파(新寫實派)를 결성했다. 그는 1950년대 중반 본격적으로 작품 활동을 하기 위해 상경하여, 모던아트협회, 《현대작가초대전》, 신상회(新象會) 등을 주도하며 한국화단의 중추적 인물로 자리매김했다. 그러나 1964년 6월 제3회 《신상회전》에 참여한 후 대부분의 그룹 활동을 그만두고 작업에 몰두했으며 이후에는 개인전을 개최하였다. 유영국의 작품은 1960년대부터 일관되게 ‘산’을 모티프로 하였으며, 기하학적 추상이 주를 이룬다. 작가에게 산은 단순히 풍경화의 대상이 아니라, 변화무쌍한 자연의 신비와 숭고함을 담은 원형(原形)으로 간주되었다. 또한, 여러 가지 형태와 색채, 질감 등 회화적 요소들을 실험하기 위한 일종의 매개체 역할을 했다고 볼 수 있다. 1960년대 작품에서는 견고한 구조와 역동성이 강하게 드러나며, 1967년부터 약 10년간은 화면이 밝아지면서, 기하학적 도형이 중첩과 병렬로 반복해 등장하는 서정적 기하 추상이 등장했다. 1980년대부터 작고하기 전까지의 작품은 부드럽게 순화된 색채 속에서, 추상성과 구상성이 공존하는 특징을 보인다 〈작품 002〉(1994)는 유영국의 유화 작품을 원본으로 삼아 가나아트 기획으로 파리의 판화 전문 공방인 아틀리에 탕기 개릭(Atelier Tanguy Garric)에서 제작한 동판화다. 화면을 대각선과 수평으로 분할하고 중심에 삼각형을 반복적으로 사용했으며 원색의 색채가 주를 이룬다. 화면 가운데 밝은 톤의 푸른색이 여러 겹 칠해진 유화의 느낌도 판화로 유사하게 표현되었다. 1960년대 후반부터 유영국의 작품은 기존의 화려한 색채, 거친 붓 터치와 두터웠던 마티에르의 표현적인 경향에서 벗어나기 시작했다. 원이나 삼각형과 같은 도형이 반복적으로 등장해 밝은색으로 칠해진 화면이 대각선이나 수평, 수직으로 분할되어 운동감이 강조되었다",1.0,29.jpg
30.0,유영국 YOO Youngkuk,작품002,1994,종이에 인타글리오 프린트,54×55,판화,9774.0,"유영국(劉永國, 1916–2002)은 경상북도 울진에서 태어났으며 경성제2고등보통학교에서 미술 교사 사토 구니오(佐藤九二男)에게서 처음 유화를 접했다. 강압적인 학교 교육에 불만을 품고 중퇴하여, 1935년에 일본으로 건너가 당시 가장 진보적인 미술학교 중 하나였던 도쿄 분카학원(文化学院)에서 본격적인 미술 공부를 시작했다. 재학 시절 일본인 학우들과 함께 N.B.G.그룹(Neo Beaux–Arts Group)을 결성하여 전시회를 개최한 바 있고, 독립미술협회, 자유미술가협회 등 당시 일본에서도 가장 전위적인 미술 단체에서 활동했으며, 1938년 제2회 《자유미술가협회전》에서는 최고상을 받았다. 귀국 후 1947년 김환기(金煥基)와 함께 한국 최초의 추상미술 단체인 신사실파(新寫實派)를 결성했다. 그는 1950년대 중반 본격적으로 작품 활동을 하기 위해 상경하여, 모던아트협회, 《현대작가초대전》, 신상회(新象會) 등을 주도하며 한국화단의 중추적 인물로 자리매김했다. 그러나 1964년 6월 제3회 《신상회전》에 참여한 후 대부분의 그룹 활동을 그만두고 작업에 몰두했으며 이후에는 개인전을 개최하였다. 유영국의 작품은 1960년대부터 일관되게 ‘산’을 모티프로 하였으며, 기하학적 추상이 주를 이룬다. 작가에게 산은 단순히 풍경화의 대상이 아니라, 변화무쌍한 자연의 신비와 숭고함을 담은 원형(原形)으로 간주되었다. 또한, 여러 가지 형태와 색채, 질감 등 회화적 요소들을 실험하기 위한 일종의 매개체 역할을 했다고 볼 수 있다. 1960년대 작품에서는 견고한 구조와 역동성이 강하게 드러나며, 1967년부터 약 10년간은 화면이 밝아지면서, 기하학적 도형이 중첩과 병렬로 반복해 등장하는 서정적 기하 추상이 등장했다. 1980년대부터 작고하기 전까지의 작품은 부드럽게 순화된 색채 속에서, 추상성과 구상성이 공존하는 특징을 보인다 〈작품 002〉(1994)는 유영국의 유화 작품을 원본으로 삼아 가나아트 기획으로 파리의 판화 전문 공방인 아틀리에 탕기 개릭(Atelier Tanguy Garric)에서 제작한 동판화다. 화면을 대각선과 수평으로 분할하고 중심에 삼각형을 반복적으로 사용했으며 원색의 색채가 주를 이룬다. 화면 가운데 밝은 톤의 푸른색이 여러 겹 칠해진 유화의 느낌도 판화로 유사하게 표현되었다. 1960년대 후반부터 유영국의 작품은 기존의 화려한 색채, 거친 붓 터치와 두터웠던 마티에르의 표현적인 경향에서 벗어나기 시작했다. 원이나 삼각형과 같은 도형이 반복적으로 등장해 밝은색으로 칠해진 화면이 대각선이나 수평, 수직으로 분할되어 운동감이 강조되었다",1.0,30.jpg
31.0,이응노,구성,1970년대,"캔버스에 종이, 먹, 색",34.5×33.5,회화 II,9960.0,"고암(顧菴) 이응노(李應魯, 1904-1989)는 17세 무렵 서화가 송태회(宋泰會, 1872-1941)에게 사군자를 배우다가, 1922년 상경하여 해강(海岡) 김규진(金圭鎭, 1868-1933) 문하에서 본격적으로 서화를 익혔다. 30대 초반까지 사군자 전문 화가인 ‘죽사(竹史)’로 활동했으나, 1936년 일본으로 건너가 마쓰바야시 게이게쓰(松林桂月)에게 남화*를 배운 후 ‘고암(顧菴)’으로 호를 바꾸고 동양화가로 변모했다. 1950년대에는 전쟁 이후 폐허가 된 도시풍경과 서민의 일상을 남화 본연의 사의(寫意)성과 필묵미를 탐구한 서체적 반추상으로 그려내며 동양화의 현대화를 모색했다. 1958년 프랑스로 이주한 이후에는 앵포르멜(informel)과 동양화를 절충한 수묵 추상과 콜라주(collage)로 화단에서 입지를 구축했다. 1967년 동백림 사건**에 연루되어 옥고를 겪은 후, 1969년 프랑스로 돌아와 문자 추상 작업을 본격화했다. 말년인 1980년대에는 문자 추상을 발전시킨 독자적인 '군상(群像)' 시리즈를 창출했다.


〈구성〉은 1960년대 콜라주 작업 등에서 등장했던 문자추상을 발전시킨 비교적 작은 크기의 작품으로, 옅게 채색한 단색의 배경 위에 고대 문자와 같은 형상을 나란히, 때로는 겹쳐 배열했다. 수묵이나 콜라주 기법으로 제작된 이전 문자 작업에서 중심을 이루었던 부드러운 운필의 선은, 이 작품에서는 각각의 기호를 감싸는 검은 윤곽선으로 나타난다. 더욱 강조되는 것은 붉은 원색의 면으로, 자유분방해 보이면서도 각기 나름의 획들로 구축된 독립적인 기호를 이룬다. 한자와 한글을 재해석한 추상화를 통해 작품에 한국성과 자연의 소박성을 담아내고자 했던 이응노는, 1970년대에 들어서는 원시 문자, 고대 언어, 아랍어 등 다양한 문자형태를 연구하며 글자 자체의 조형성에 관심을 가졌고, 이는 이 작품에서처럼 기하학적이고 장식적인 일련의 문자추상 작품으로 이어졌다.


*남화(南画)는 18-19세기 일본에서 유행한 회화 양식 중 하나로, 중국의 남종문인화 요소들을 독자적인 양식으로 재해석한 화풍이다.


**동백림(東伯林: 당시 동독의 수도인 동베를린) 사건은 1967년 7월 8일에 중앙정보부가 화가 이응노, 작곡가 윤이상 등 예술인과 대학교수, 공무원 등 194명이 동베를린을 거점으로 간첩활동을 해왔다며 처벌한 사건이다. 이응노는 한국전쟁 때 소식이 끊긴 아들을 찾아 동베를린에 간 것으로 의심을 받고 이 사건에 연루되어 감옥살이를 하다가 1969년 3월에 석방되었다. 2006년에 국가정보원 과거사 진실규명위원회가 동백림 사건을 조사한 결과, 이 사건은 확대·과장된 측면이 있다고 밝혔다.",1.0,31.jpg
32.0,이인성,원두막이 있는 풍경,1930년대 - 1940년대추정,종이에 수채 물감,28×36.5,회화 II,9966.0,"이인성(李仁星, 1912-1950)은 1928년 화가 서동진이 경영하는 대구미술사(大矩美術社)에 들어가 수채화를 배웠고, 후원자의 도움으로 1931년 일본으로 건너갔다. 도쿄의 오오사마 상회에서 일하며 야간에는 다이헤이요미술학교(太平洋美術学校)에서 공부했다. 1929년 《제8회 조선미술전람회(약칭 선전)》를 시작으로 마지막 전시회인 1944년 《제23회 선전》까지 한 차례도 빠짐없이 매년 출품하여 특선, 창덕궁상을 비롯한 주요 상을 수상하며 최연소 추천작가에 올랐다. 또한 일본 데이코쿠미술전람회(帝国美術展覧会), 광풍회(光風会) 등 여러 일전(日展)에 출품하여 좋은 성적을 거두었다. 1936년에는 대구에 이인성양화연구소를 개설하여 서양화를 알리는데 주요한 역할을 하였다. 광복 후 1946년에는 조선미술동맹의 부위원장을 맡았으며, 1949년 《제1회 대한민국미술전람회》에서는 서양화부 심사위원을 지냈다. 한국전쟁 당시 술에 취해 귀가하다가 경찰과 실랑이가 벌어져 총기 오발 사고로 39세의 젊은 나이에 생을 마감하였다.


 이인성의 1920년대 후반 작품은 주로 근대도시로 바뀌고 있는 대구 풍경을 그린 수채화였다. 일본 유학기인 1930년대 중반부터는 다양한 서양미술 양식을 수용하여 조선의 풍물과 인물을 소재로 붉은 흙과 파란 하늘의 색채대비, 여운이 감도는 서정적인 분위기 묘사를 통해 향토적인 분위기를 구현했다.


 <원두막이 있는 풍경>은 산의 능선을 보라색과 분홍색, 살구색, 그 사이사이 초록색으로 칠하는 등 밝고 화사한 색채로 이루어진 풍경화이다. 야트막한 산을 여러 개의 능선과 세모 형태로 면을 구획하고, 길고 짧은 터치를 가했다. 원두막은 소략하게 그렸지만, 그 주변을 짙은 초록색으로 칠해 원두막이 있는 오른쪽으로 시선이 집중된다. 파스텔 톤의 색채가 어우러진 스케치풍의 수채화로, 화면 왼쪽 하단부에는 ‘Lee 星’이라고 서명했으며 동양화처럼 서명 아래에 인장을 세 개 찍은 점이 특이하다.",1.0,32.jpg
33.0,장욱진,봉황,1979,종이에 먹,58.2×35.8,드로잉,10247.0,"장욱진(張旭鎭, 1917-1990)은 충남 연기군에서 출생하였으며, 경성 제2고등보통학교를 다니면서 특별활동으로 미술반에서 그림에 열중했다. 그러나 일본인 역사 교사에게 항의한 이유로 퇴학을 당하고, 화가와 조각가들의 화실을 다니다가 20세에 양정고등보통학교에 체육특기생으로 편입하였다. 이후 일본으로 유학하여 1943년 도쿄 데이코쿠미술학교(帝国美術学校, 현재 무사시노미술대학)를 졸업했고, 귀국하여 국립박물관에서 근무하게 된다. 이때 그는 전통미술에 관심을 갖기 시작하면서 문인화, 벽화, 민화 속 도상을 작품에 지속적으로 등장시켰다. 1949년에는 김환기, 유영국 등이 창립한 신사실파(新寫實派)에 참가하여 작품을 출품하였고 1954년부터 6년간 서울대학교 미술대학 교수직을 맡았다. 


 장욱진은 소품(小品) 위주의 작가로 작은 화면에 그린 세계가 진실하고 한눈에 들어와서 감상의 대상으로 적절하다고 생각했다. 나무, 집, 새, 아이, 마을, 가축 등 일상적인 소재를 즐겨 그렸다. 작품을 통해 집에 대한 애착이 드러나며 작가 자신과 아내를 화면에 담아 자전적 성격을 띠기도 한다. 소재를 꾸밈없이 단순하게 묘사하여 자칫 유아적으로 보이지만 치밀한 구성력과 세련된 색채, 특유의 밀도 높은 채색법으로 작품의 완성도를 높였다. 장욱진은 여러 차례 거처를 옮겨 다녔는데, 이때 소재나 화풍이 변하여 장소에 따라 덕소 시기, 명륜동 시기, 수안보 시기, 용인 시기로 불린다.


 장욱진은 특유의 ‘먹그림’을 1978년부터 1985년까지 제작했다. 기법에 구애받지 않고 붓장난처럼 그렸다는 의미로 먹그림이라 불렀는데, 작가가 민화 등에 관심을 갖고 붓의 필치, 선염, 여백, 묽은 물감 등 전통회화의 기법을 유화에 실험하던 시기에 제작되었다. 일본의 시키시*나 닥종이 등의 종이를 사용했으며 편봉**의 획을 구사했다. <먹그림>은 초기의 먹그림으로, 머리와 꼬리의 화려한 깃털로 보아 환상 속의 새인 봉황을 그린 것이다. 가는 선으로 그린 봉황과 대조적으로 빠르게 하늘을 나는 작은 새를 반대 방향으로 그려 넣어 화면에 운동감과 긴장을 확보했다. 최소한의 터치만으로 화면을 채움으로써 비어있는 듯하지만 충만하다는 뜻의 ‘비공(非空)’이라는 작가의 법명(法名)과 잘 어울리는 작품이다.


*시키시(色紙)는 뒤에 두껍게 배접하여 제작과 보존이 용이한 종이를 말한다.


**편봉(偏鋒)은 붓끝이 한쪽에 치우쳐 붓의 결과 움직이는 방향이 어긋나게 긋는 운필법이다",1.0,33.jpg
35.0,박수근,판잣집,1956,종이에 유화 물감,21×29,회화 II,9428.0,"박수근(朴壽根, 1914-1965)은 강원도 양구에서 출생했으며 독학으로 그림을 공부하여 1932년 《제11회 조선미술전람회》부터 꾸준히 출품하여 여러 차례 입선했다. 그는 1940년에 평양에서 최영림, 장리석, 황유엽 등과 함께 미술단체인 주호회를 결성하면서 미술가들과 교류했다. 광복 후에는 대한민국미술전람회(약칭 국전)에 주로 출품했으며 1953년 《제2회 국전》에서 특선을 했고, 1955년 《제7회 대한미술협회전》에서 국회문교분과위원장상을 수상하였다. 


 박수근은 광복 이전부터 주로 농촌의 풍경과 여인의 모습을 화폭에 담았는데 이러한 모티프는 평생 일관되게 이어진다. 한국전쟁 이후에는 미군 부대에서 초상화를 그리면서 어렵게 생활하면서도 서울 거리의 풍경과 서민들의 일상생활을 그렸다. 특히 노동하는 여인들의 모습을 즐겨 그렸다. 그는 대상을 단순화하고 회색과 갈색을 주조로 하여 짧은 붓질로 여러 번 덧칠해 특유의 화강암 같은 화면 질감을 만들었다.


〈판잣집〉은 길가에서 바라보는 판잣집의 외관을 그린 작품이다. 박수근은 초가나 조선 기와집, 판잣집과 같은 집들을 자주 그려왔는데, 집을 모티프로 한 작품은 크게 집을 단독으로 그린 것과 마을을 대상으로 그린 것으로 나눌 수 있다. 이 작품에서는 다닥다닥 붙어있는 판자촌의 공 간적인 특징이 느껴진다. 작품의 마티에르는 균일하지 못하고 울퉁불퉁하지만, 작품의 전체적인 색조는 엷은 황갈색으로 유지되어 차분한 통일감을 형성한다. 색조가 강하지는 않으나 얼핏 보이는 연두색과 하늘색의 채색 흔적은 궁핍하고 누추한 판자촌의 모습보다는 적막하면서도 평온한 판자촌의 한때를 연상하게 한다. 판잣집을 그린 박수근의 작품은 한 시대의 삶을 기록하는 것으 로서 의미를 지닌다. 실제로 1950년대 도심이나 도시 변두리에는 판잣집들이 적지 않았다. 작가는 가난한 사람들의 삶을 편견이나 연민의 감정을 지니지 않고 엄연한 인간의 삶으로서 담담하게 바 라보았음을 이 작품으로부터 추측할 수 있다",1.0,35.jpg
36.0,박수근,춘일,1950년대,카드보드에 유화 물감,24.4×33.2,회화 II,9431.0,"박수근(朴壽根, 1914-1965)은 강원도 양구에서 출생했으며 독학으로 그림을 공부하여 1932년 《제11회 조선미술전람회》부터 꾸준히 출품하여 여러 차례 입선했다. 그는 1940년에 평양에서 최영림, 장리석, 황유엽 등과 함께 미술단체인 주호회를 결성하면서 미술가들과 교류했다. 광복 후에는 대한민국미술전람회(약칭 국전)에 주로 출품했으며 1953년 《제2회 국전》에서 특선을 했고, 1955년 《제7회 대한미술협회전》에서 국회문교분과위원장상을 수상하였다. 


 박수근은 광복 이전부터 주로 농촌의 풍경과 여인의 모습을 화폭에 담았는데 이러한 모티프는 평생 일관되게 이어진다. 한국전쟁 이후에는 미군 부대에서 초상화를 그리면서 어렵게 생활하면서도 서울 거리의 풍경과 서민들의 일상생활을 그렸다. 특히 노동하는 여인들의 모습을 즐겨 그렸다. 그는 대상을 단순화하고 회색과 갈색을 주조로 하여 짧은 붓질로 여러 번 덧칠해 특유의 화강암 같은 화면 질감을 만들었다.


 <춘일>은 봄날 골목길의 일상적인 풍경을 그린 작품이다. 이 그림에서는 박수근이 즐겨 그렸던 짐을 이고 가는 여인, 골목에서 노니는 아이들, 초가집, 앙상한 나무가 한 화면에 등장한다. 모두 전후 한국 사회의 가난하고 고단한 생활을 나타낸다. 그는 이러한 상황을 비극적으로만 그리지 않고, 한국적인 감성을 표현한 기법으로 승화하고자 했다. 화면에 겹겹이 쌓인 물감의 두꺼운 표면은 한국의 토벽이나 암벽의 화강암을 연상시킨다. 그리고 그는 옛 석물(石物)에서 아름다움을 느끼며 이를 조형화하고자 하였는데, 이 작품에 나타나는 단순한 선과 구도, 평면적으로 처리된 바탕에서 그러한 의지를 알 수 있다.",1.0,36.jpg
37.0,파블로 피카소,마스크를 쓴 얼굴,1956,"백토, 백색 에나멜, 산화물 장식, 유약 시유",31×31×4,공예,10459.0,"파블로 피카소(Pablo Picasso, 1881–1973)는 스페인 말라가(Málaga)에서 태어나 미술 교사인 아버지에게 일곱살까지 미술 교육을 받고, 바르셀로나와 마드리드 미술학교를 거치며 일찌감치 아카데믹한 화풍으로 뛰어난 기량을 보였다. 1904년 파리로 건너가 영구 정착하였으며, 무쟁(Mougins)에서 사망하기까지 프랑스를 주 무대로 활동하면서 전 생애에 걸친 왕성한 창작활동을 펼쳤다. 가난과 우울, 내면의 고통을 청색의 단색조로 형상화하던 청색 시대(1901–1904)와 감상적인 주제와 색조의 장밋빛 시대(1904–1906)를 지나, 폴 세잔(Paul Cézanne, 1839-1906)과 원시미술의 영향을 받은 〈아비뇽의 여인들(Les Demoiselles d'Avignon)〉(1906–1907)을 통해 혁명적 화풍의 시작을 알렸다. 조르주 브라크(Georges Braque, 1882-1963)와 공동 창시한 큐비즘(1909–1919)을 통해 20세기의 새로운 조형 언어를 선보였으며 이후 신고전주 의와 초현실주의적 요소를 활용해 방대한 양의 회화, 조각, 드로잉, 판화, 공예 작품을 제작하였다. 또한 1937년에 제작한 〈게르니카(Guernica)〉를 통해 역사화를 부활시켰다. 피카소는 다양한 재료의 효과와 재질감의 대비로부터 나오는 표현성을 보편화시키고, 콜라주나 아상블라주와 같은 당대 혁신적인 조형 작업을 선보이며 장르 불문의 새로운 시각예술 언어를 제시하였다. 그는 인물 초상, 사생활의 소산, 생의 희비극, 정치적 메시지, 대담하고 우아한 에로티시즘 등 다양한 주제를 망라했다.

〈마스크를 쓴 얼굴〉은 접시의 원형을 이용해 얼굴을 나타낸 도자 작업이다. 눈코입과 이마 부분의 ‘엑스(X)’자 표시가 살짝 돌출되어 있으며, 마스크와 눈동자는 검은색 유약을 칠해 표현했다. 접시의 배경색은 백토에 흰색 에나멜을 발라 흑백의 대비가 더욱 강조되어 보인다. 얼굴은 피카소의 작업에 자주 등장하는 소재로 간결한 선과 도형으로 표현된 이목구비가 특징적이다. 접시의 실험적 형태를 고려했을 때 작가는 이것의 실용적 기능보다는 캔버스와 같은 예술적 매체로 여기며 작업했음을 알 수 있다.",1.0,37.jpg
38.0,도상봉 TO Sangbong,백일홍,1970,캔버스에 유화 물감,24.7×33.5,회화 II,9333.0,"도천(陶泉) 도상봉(都相鳳, 1902-1977)은 서울 보성고등보통학교에서 고희동(高羲東)으로부터 유화를 배웠다. 1921년 일본으로 유학을 떠나 메이지대학(明治大学) 법과에 입학했으나, 곧 미술로 전향해 1923년 도쿄미술학교(東京美術学校)에 들어가서 1927년 졸업했다. 귀국 후 조선미술전람회에는 출품하지 않고 서화협회전 등에 종종 출품했고, 1931년에는 유화 교실인 숭삼화실을 설립했다. 이후 대한민국미술전람회의 추천작가 및 심사위원 등으로 활동했으며, 대한미술협회 위원장, 한국미술협회 이사장 등을 역임했다.


 도상봉의 작품은 유학할 당시에 배웠던 일본풍 아카데미즘을 바탕으로 한다. 작가는 부드러운 필치와 온화한 색조를 사용하여 주로 정물과 건물, 정원 풍경을 안정감 있는 구도로 묘사했다. 특히 다양한 꽃이 꽂힌 백자 항아리를 그려 ‘도자기 화가’라는 수식어가 붙기도 했다.


 <백일홍>은 백자 항아리에 꽂힌 활짝 핀 백일홍을 묘사한 작품이다. 백일홍을 화면 상반부에 가득 채워 자연스러운 수평분할 구도를 이끌어냈고 배경을 어둡게 처리함으로써 꽃과 꽃병이 어둠 속에서 은은하게 드러난다. 특히 빛에 따라 달라지는 다각 항아리의 각 면에 표현된 명암이 이를 극대화한다. 도상봉은 꽃의 아름다움을 지고지순한 가치를 지닌 ‘이상미’로 생각했고 꽃 그림은 사람의 감성을 부드럽게 하고 인간의 마음에 행복을 가져다준다고 믿었다.",1.0,38.jpg
39.0,류경채 RYU Kyungchai,계절,1965,캔버스에 유화 물감,250×106,회화 II,9349.0,"편정(片丁) 류경채(柳景埰, 1920-1995)는 1941년에 일본 도쿄 료쿠인샤미술학교(緑陰社画学校)를 졸업했으며, 귀국 후 1949년 《제1회 대한민국미술전람회(약칭 국전)》에서 대통령상을 수상했으며 이후 연속으로 입선하며 1956년에는 국전의 추천작가가 되었다. 1957년에는 예술의 순수 자율성을 강조하며 순수 창작을 표방하는 단체인 창작미술협회(創作美術協會)를 창립했다. 또한 서울사범학교에서 교사로, 이화여자대학교와 서울대학교에서 교수로 재직하면서 미술 교육에도 힘썼다.


 작가는 일관되게 ‘자연과의 교감’이라는 주제를 다루면서 화풍은 시대에 따라 구상에서 비구상, 추상으로 전환해 갔다. 1940-50년대에는 자신의 심상을 바탕으로 자연 혹은 자연과 동화된 인간을 서정적으로 그렸으며, 1960년대부터는 자연의 질서를 표현하면서 형태를 완전히 소멸시킨 추상 회화로 전환하였다. 1980년대에는 이전보다 형태를 단순화 시켜 기하학적인 색면회화 작업을 했다.


 <계절>은 류경채가 1960년대에 자연을 추상적으로 표현하기 시작한 시기의 작품이다. 화면의 두꺼운 질감은 그가 1950년대 말 잠시 시도했던 앵포르멜의 영향을 느낄 수 있으나, 흰색을 많이 사용하여 거칠고 어둡기보다는 따뜻하면서도 몽환적인 분위기를 담고 있다. 작가는 자연과의 교감을 추구하되, 자연주의적 관찰에서 벗어나 원천적인 개념으로서 자연을 추구했으며, 범자연적인 서정성을 표현하는 데 집중했다.",1.0,39.jpg
42.0,구본웅 GU Bonung,자매,1930년대 - 1940년대추정,종이에 수채 물감,25.3×18.8,드로잉,9115.0,"서산(西山) 구본웅(具本雄, 1906-1953)은 화가이자 조각가, 비평가로 활동했다. 고려미술원에서 춘곡 고희동에게 서양화를 배우고, 조각가 김복진(金復鎭)에게 조각을 사사했으며, 일본으로 건너가 1929년에 니혼대학(日本大学) 미술과를 거쳐 1934년에 다이헤이요미술학교(太平洋美術学校) 본과를 졸업했다. 그는 재야미술단체의 전시회인 독립미술협회전(獨立美術協會展), 이과전(二科展) 등에서 활동했으며, 서양화가 단체인 목일회(牧日會)와 도쿄의 전위 예술 단체인 백만회(白蠻會)의 창립에 참여했다. 그는 도쿄에서 유학할 때 야수파를 접하면서 1930년대 한국 화단의 주류인 아카데미즘과 인상주의를 거부하고 야수파의 영향을 받은 강렬한 화풍을 구사했다.


<자매>는 두 명의 여자아이를 소묘로 간결하게 그린 작품이다. 몇 개의 선으로 묘사된 아이들의 얼굴, 분방하게 처리된 머리 모양, 미처 그리지 못한 몸통 등에서 대상의 특징을 빠르게 포착해 스케치했음을 알 수 있다. 간단한 드로잉이지만 불만스러운 표정과 더벅머리의 결이 표현되었고, 몸통을 그리지는 않았지만 구도로 인해 형태감이 느껴진다. 인물의 특징을 재빨리 파악하여 간결하게 묘사했던 구본웅 특유의 필치가 돋보이는 작품이다.",1.0,42.jpg
43.0,권옥연 KWON Okyon,살구꽃 필 무렵,1991,캔버스에 유화 물감,88×98.5,회화 II,9119.0,"무의자(無衣子) 권옥연(權玉淵, 1923-2011)은 경성 제2고등보통학교에서 미술교사 사토 구니오(佐藤九二男, 1897-1945)의 가르침을 받았으며. 1942년에는 일본으로 유학하여 도쿄 데이코쿠미술학교(帝国美術学校) 서양화과에 입학했다. 조선미술전람회, 대한민국미술전람회, 대한미술협회전 등에 출품했으며, 1953년 《제5회 대한미술협회전》에서는 문교부 장관상을 수상하였다. 또한 데이코쿠미술학교 출신 화가들의 단체인 백우회(白牛會) 전시에 참여하기도 했다. 작가는 1957년 프랑스 파리로 건너가서 아카데미 라 그랑 쇼미에르(Académie de la Grande-Chaumière)에서 수학하였다. 살롱 도톤느(Salon d’automne)에 출품했으며 1960년에 귀국하였다. 1965년 제8회 상파울루비엔날레에 참여했으며 2001년 국립현대미술관 올해의 작가로 선정된 바 있다. 권옥연의 초기 작품은 구상화였으나, 1950년대 후반에 파리로 유학하면서부터 반구상 작품을 제작했으며 점차 향토적이면서 초현실주의적인 추상으로 변모하였다. 귀국 후에는 민속적인 주제와 전통문화를 상징하는 소재를 활용하여 추상과 구상을 넘나드는 작품을 했다. 1970년대 이후부터는 그 서사적이고 환상적인 구상 회화로 발전시켜 향토성과 문학성을 갖춘 자신만의 양식을 정립했다.


<살구꽃 필 무렵>은 권옥연의 초현실주의가 무르익은 작품이다. 1990년대 권옥연은 자연과 풍경을 그리기 시작했는데, 이 작품에서는 정자(亭子) 위에 꽂힌 나무로 만든 솟대, 커다란 달과 그 옆으로 날고 있는 연, 소나무와 살구꽃이 만개하며 나뭇잎이 휘날리는 향토적인 해안가의 풍경이 묘사되었다. 대상을 사실적으로 표현했다기보다는 예리한 선과 단순화한 면으로 이루어진 초현실적이고 상징화된 형상들로 구성되어 있으며, 이는 권옥연 특유의 저채도 색채의 사용으로 인해 독자적인 분위기를 자아낸다.",1.0,43.jpg
44.0,김정숙 a KIM Chungsook a,촛불,1980,대리석,"58×21×15, 좌대: 17×17.5(지름)",조각ㆍ설치,9245.0,"김정숙(金貞淑, 1917-1991)은 조각가 윤효중에게 사사했고, 두 차례에 걸쳐 3년간 미국에서 유학했다. 1955년에 미국으로 처음 건너가 추상 조각을 배우며 석조, 용접, 테라조 등 다양한 조각방식을 수용했다. 1956년에 귀국하여 1957년부터 홍익대학교에서 교수로 재직했다. 1958년에 다시 미국으로 가서 산업디자인과 칠보(enameling)를 수학하고 1959년에 귀국했다. 《대한민국미술전람회》에 여러 차례 출품했으며, 1963년부터는 심사위원을 맡았다. 1974년에는 윤영자(1924-2016)와 함께 주축이 되어 한국여류조각가협회를 설립하며 활발한 활동을 했다. 김정숙은 청동, 대리석, 나무, 금속 등 다양한 재료를 사용하여 주로 사랑과 생명을 주제로 형태를 단순화하여 표현했다.


〈촛불〉은 수직으로 길게 뻗은 마름모꼴의 간결한 형태로 타오르는 촛불의 불 부분을 표현한 작품이다. 환조이지만, 상승하는 부드러운 곡선과 내측의 매끈한 면, 가운데 비워낸 공간의 조화는 전면에서 바라보았을 때 온전히 감상할 수 있다. 흰색의 대리석은 순결 혹은 숭고의 느낌을 자아내는 한편, 좌대와 흑백의 대비를 이루며 더욱 도드라진다. 사다리꼴의 원통형으로 된 좌대는 초의 모습을 연상시키며 작품을 지지하는 부수적인 역할을 넘어 조각의 온전한 일부가 된다. 1970년대부터 이후 김정숙은 이 작품과 같은 반추상에서 ‘완전한 추상’의 형상으로 나아가며 자연과 생명이라는 보다 큰 주제를 담아내고자 했다.",1.0,44.jpg
